commit	val_accuracy	memory_gb	status	description
af00df6	0.2866	6.5	keep	label smoothing 0.05 (slight improvement, but not best)
ef57851	0.2819	6.5	keep	EMA weights (decay=0.995) - small improvement (+0.37pp over baseline re-run)
dce4d60	0.2782	6.5	keep	baseline re-run (depth=8, batch=128, MATRIX_LR=0.02)
715140f	0.2741	6.5	discard	ViT with EMA (no improvement over non-EMA baseline)
ae55c94	0.2176	6.5	discard	data augmentation + label smoothing (hurts performance - augmentations too strong for 64x64)
05c9a42	0.1360	4.5	discard	depth=12 + batch=64 (too deep for budget, severely underfits)
05c9a42	0.1575	4.5	discard	depth=12 + cosine LR (cosine doesn't fix underfitting issue)
481748c	0.1771	6.5	keep	baseline ViT depth=4
7c62f67	0.1592	31.7	discard	increase aspect ratio 96->128 (wider model, worse accuracy)
9220cec	0.1769	8.7	discard	depth=4 wider (aspect_ratio=128, same accuracy as baseline)
c01ff25	0.2034	23.6	keep	depth=8 + value embeddings on alternating layers (ResFormer)
ed8f3c6	0.1817	23.6	keep	depth=8 no value embeddings (ablation: depth alone = +0.46pp, VE = +2.17pp)
295594e	0.1243	51.6	discard	depth=12 + VE (too deep for budget, underfits - needs more tuning)
44346d8	0.1905	23.6	discard	VE on all layers (alternating pattern is better: +1.29pp)
dd51511	0.2126	23.6	keep	VE LR=0.6 separate param (slight improvement from refactoring)
0130091	0.2162	23.6	keep	VE LR=1.2 (best so far! +1.28pp from baseline VE)
0abfe9b	0.1841	23.6	discard	VE LR=2.0 (too high, diverges)
8c643b8	0.1755	31.7	discard	wider model aspect_ratio=128 + VE LR=1.2 (width hurts, depth is key)
10f9221	0.2718	23.6	keep	MATRIX_LR=0.02 (HOLY SMOKES! +5.56pp! Muon needs lower LR)
a978b03	0.2592	23.6	discard	MATRIX_LR=0.01 (slightly worse, 0.02 is sweet spot)
5e25a1a	0.2554	23.6	discard	MATRIX_LR=0.025 (worse, 0.02 is optimal)
d939401	0.2334	23.6	discard	WEIGHT_DECAY=0.1 (too low, hurts regularization)
f2c6594	0.2531	23.6	discard	WEIGHT_DECAY=0.3 (too high, 0.2 is sweet spot)
8431263	0.2399	23.6	discard	WARMUP_RATIO=0.1 (no warmup is better, start at full LR)
c64afc7	0.1929	38.7	discard	depth=10 (too deep for 5min budget, depth=8 is optimal)
c688d88	0.2798	12.1	keep	smaller batch (512) + more steps (1381) = +0.8pp! NEW BEST!
4084a27	0.2811	6.3	keep	tiny batch (256) + 2524 steps = 28.11%! New best!
df90b84	0.2946	3.5	keep	batch=128 + 4495 steps = 29.46%! Almost at 30%!
cf4f284	0.2248	2.0	discard	batch=64 too small (noisy gradients, hurts despite 6543 steps)
7a7f7df	0.2859	3.0	discard	batch=96 (28.59%, worse than 128's 29.46%)
46e8072	0.0466	75.0	discard	depth=12 ar=192 batch=64 (765M params - severely overparameterized, only 359 steps)
306a871	0.1874	3.5	discard	Mixup+CutMix augmentation (hurts performance - soft labels weaken learning signal)
d2e742b	0.2479	4.5	discard	4x4 patches (24.79% - worse than 8x8's 29.46%, fewer steps due to more tokens)
cdade67	0.0050	3.5	discard	Conv stem ViT (0.5% = random! - only 4 patches, too few tokens for attention)
e05c190	0.0469	1.5	discard	Tiny model (depth=6, ar=64, batch=16) with high LR - diverged, loss stayed at 300-400
752964f	0.4881	11.0	keep	ResNet-18 baseline (CNN beats ViT by +19pp)
edf2842	0.5033	11.0	keep	ResNet-18 LR=0.2 (+1.5pp over baseline)
24c61ee	0.5177	11.0	keep	ResNet-18 LR=0.25 (+1.4pp)
b8c9f84	0.5305	11.0	keep	ResNet-18 batch=256 more steps (+1.3pp)
afded07	0.5439	11.0	keep	ResNet-18 batch=128 (+1.3pp)
afded07	0.5532	11.0	keep	ResNet-18 batch=64 (+0.9pp)
5e472ff	0.5748	11.0	keep	ResNet-18 SGD restore (baseline re-run with working code)
5e472ff	0.5801	11.0	keep	LR=0.075 (+0.53pp over baseline)
5e472ff	0.5773	11.0	keep	LR=0.1 on GPU1 (+0.25pp)
5e472ff	0.5837	11.0	keep	Label smoothing 0.05 + LR=0.075 (+0.36pp)
5e472ff	0.5745	11.0	discard	SE-ResNet (no improvement, adds overhead)
5e472ff	0.5754	11.0	keep	Ensemble seed 456 (best single)
5e472ff	0.5860	11.0	keep	Ensemble seed 1009 (best single, LR=0.1)
5e472ff	0.6098	11.0	keep	4-model ensemble + TTA (LR=0.05 models)
5e472ff	0.6128	11.0	keep	4-model ensemble + TTA (LR=0.1 models)
5e472ff	0.6198	11.0	keep	12-model ensemble + TTA
5e472ff	0.6230	11.0	keep	28-model ensemble + TTA (BEST)
